,MESSAGE,LABEL,label,cleaned_message,tokenized_message,no_stop_message,stemmed_message
0,CLINIQUE 6MNY-06 /EVEN BETTER MAKEUP CN 58 HONEY (PREVIOUSLY 06) 1 OZ,ham,0,CLINIQUE 6MNY06 EVEN BETTER MAKEUP CN 58 HONEY PREVIOUSLY 06 1 OZ,"['clinique', '6mny06', 'even', 'better', 'makeup', 'cn', '58', 'honey', 'previously', '06', '1', 'oz']","['clinique', '6mny06', 'even', 'better', 'makeup', 'cn', '58', 'honey', 'previously', '06', '1', 'oz']","['cliniqu', '6mny06', 'even', 'better', 'makeup', 'cn', '58', 'honey', 'previous', '06', '1', 'oz']"
1,"UKDealsToday:Estée Lauder New Advanced Night Repair, 30ml  £52.20 at John Lewis &amp",ham,0,UKDealsTodayEstée Lauder New Advanced Night Repair 30ml  £5220 at John Lewis amp,"['ukdealstodayestée', 'lauder', 'new', 'advanced', 'night', 'repair', '30ml', '5220', 'at', 'john', 'lewis', 'amp']","['ukdealstodayestée', 'lauder', 'new', 'advanced', 'night', 'repair', '30ml', '5220', 'john', 'lewis', 'amp']","['ukdealstodayesté', 'lauder', 'new', 'advanc', 'night', 'repair', '30ml', '5220', 'john', 'lewi', 'amp']"
2,Fenty Beauty Mattemoiselle Trifecta Plush Matte Lipstick is the bomb,ham,0,Fenty Beauty Mattemoiselle Trifecta Plush Matte Lipstick is the bomb,"['fenty', 'beauty', 'mattemoiselle', 'trifecta', 'plush', 'matte', 'lipstick', 'is', 'the', 'bomb']","['fenty', 'beauty', 'mattemoiselle', 'trifecta', 'plush', 'matte', 'lipstick', 'bomb']","['fenti', 'beauti', 'mattemoisel', 'trifecta', 'plush', 'matt', 'lipstick', 'bomb']"
3,***New Deal***\nNYX PROFESSIONAL MAKEUP Soft M...\nReduced from $60.50 to $1.70\#giveaway,spam,1,New DealnNYX PROFESSIONAL MAKEUP Soft MnReduced from 6050 to 170giveaway,"['new', 'dealnnyx', 'professional', 'makeup', 'soft', 'mnreduced', 'from', '6050', 'to', '170giveaway']","['new', 'dealnnyx', 'professional', 'makeup', 'soft', 'mnreduced', '6050', '170giveaway']","['new', 'dealnnyx', 'profession', 'makeup', 'soft', 'mnreduc', '6050', '170giveaway']"
4,"Yes, it works! - Carol B. - L'Oreal Paris Root Rescue Hair Color, 5 Medium Brown ",ham,0,Yes it works  Carol B  LOreal Paris Root Rescue Hair Color 5 Medium Brown ,"['yes', 'it', 'works', 'carol', 'b', 'loreal', 'paris', 'root', 'rescue', 'hair', 'color', '5', 'medium', 'brown', '']","['yes', 'works', 'carol', 'b', 'loreal', 'paris', 'root', 'rescue', 'hair', 'color', '5', 'medium', 'brown', '']","['ye', 'work', 'carol', 'b', 'loreal', 'pari', 'root', 'rescu', 'hair', 'color', '5', 'medium', 'brown', '']"
5,Did you know that Avon sells 4 lipsticks EVERY SECOND???  How about that,ham,0,Did you know that Avon sells 4 lipsticks EVERY SECOND  How about that,"['did', 'you', 'know', 'that', 'avon', 'sells', '4', 'lipsticks', 'every', 'second', 'how', 'about', 'that']","['know', 'avon', 'sells', '4', 'lipsticks', 'every', 'second']","['know', 'avon', 'sell', '4', 'lipstick', 'everi', 'second']"
6,FENTY BEAUTY SERIES\nDAY 1 - TRUE NEUTRALS\,ham,0,FENTY BEAUTY SERIESnDAY 1  TRUE NEUTRALS,"['fenty', 'beauty', 'seriesnday', '1', 'true', 'neutrals']","['fenty', 'beauty', 'seriesnday', '1', 'true', 'neutrals']","['fenti', 'beauti', 'seriesnday', '1', 'true', 'neutral']"
7,Health & Beauty:White Tea by Elizabeth Arden 3.3 / 3.4 oz EDT Perfume for Women Tester $22.15,ham,0,Health  BeautyWhite Tea by Elizabeth Arden 33  34 oz EDT Perfume for Women Tester 2215,"['health', 'beautywhite', 'tea', 'by', 'elizabeth', 'arden', '33', '34', 'oz', 'edt', 'perfume', 'for', 'women', 'tester', '2215']","['health', 'beautywhite', 'tea', 'elizabeth', 'arden', '33', '34', 'oz', 'edt', 'perfume', 'women', 'tester', '2215']","['health', 'beautywhit', 'tea', 'elizabeth', 'arden', '33', '34', 'oz', 'edt', 'perfum', 'women', 'tester', '2215']"
8,NyxCosmetics Hiii happy #FanFriday! Using NYX Matte Liquid liner- my fave!,ham,0,NyxCosmetics Hiii happy FanFriday Using NYX Matte Liquid liner my fave,"['nyxcosmetics', 'hiii', 'happy', 'fanfriday', 'using', 'nyx', 'matte', 'liquid', 'liner', 'my', 'fave']","['nyxcosmetics', 'hiii', 'happy', 'fanfriday', 'using', 'nyx', 'matte', 'liquid', 'liner', 'fave']","['nyxcosmet', 'hiii', 'happi', 'fanfriday', 'use', 'nyx', 'matt', 'liquid', 'liner', 'fave']"
9,..DONT MISS THIS #FREE FREE FREE clinique products..Just register,spam,1,DONT MISS THIS FREE FREE FREE clinique productsJust register,"['', 'dont', 'miss', 'this', 'free', 'free', 'free', 'clinique', 'productsjust', 'register', '']","['', 'dont', 'miss', 'free', 'free', 'free', 'clinique', 'productsjust', 'register', '']","['', 'dont', 'miss', 'free', 'free', 'free', 'cliniqu', 'productsjust', 'regist', '']"
